name,ra,dec,plate,mjd,fiberID,subclass,u_mag,g_mag,r_mag,i_mag,z_mag
307416612011534336,158.19104,-0.073699209,273,51957,167,M0,22.62364,19.82765,18.48586,17.75831,17.27229
332308181344610304,198.93705,1.0042037,295,51985,610,M3,22.22127,19.52938,18.09899,16.94452,16.32963
333285372287019008,200.94652,-0.81987536,296,51984,69,M1,22.44075,20.22565,18.68222,17.63942,17.08587
363667896028653568,183.98298,-1.0393178,323,51615,8,M0,21.87266,19.04259,17.62943,16.90464,16.48689
363673943342606336,184.3177,-0.42058694,323,51615,30,M3,21.19682,18.56308,17.1693,15.97408,15.37583
363678341389117440,183.58402,-1.1492218,323,51615,46,M1,21.07201,18.39039,16.97011,16.10519,15.5855
363678616267024384,183.52835,-1.1590308,323,51615,47,M1,21.32068,18.71985,17.33548,16.49881,15.98174
363700056743766016,183.03888,-1.1741679,323,51615,125,M4,21.29156,18.49923,17.04289,15.61099,14.74951
363692635040278528,183.16242,-1.2150682,323,51615,98,M1,21.47893,18.61255,17.15262,16.21376,15.66084
363681090168186880,183.67176,-1.0871287,323,51615,56,M1,20.75119,18.22486,16.88721,16.07651,15.62297
363678891144931328,183.70438,-1.141293,323,51615,48,M3,21.14861,18.53666,17.1866,16.0596,15.41933
363679715778652160,183.4504,-0.67299071,323,51615,51,M0,21.63468,18.89664,17.51738,16.73755,16.36126
363693459673999360,183.69941,-0.38379575,323,51615,101,M1,21.16168,18.6163,17.2165,16.36965,15.87188
363683564069349376,183.94811,-0.31361421,323,51615,65,M0,20.70236,18.13251,16.66232,15.88543,15.40874
363698957232138240,182.84573,-0.95562613,323,51615,121,M1,21.60223,19.00753,17.61597,16.8223,16.34314
363691535528650752,183.13406,-0.92923024,323,51615,94,M0,21.70437,19.07849,17.64141,16.94904,16.55506
363693184796092416,183.19852,-0.92851103,323,51615,100,M1,21.65967,18.87066,17.49047,16.62877,16.19962
363694834063534080,183.57918,-0.59468866,323,51615,106,M1,21.07906,18.5049,17.12488,16.19421,15.71569
363695383819347968,183.77687,-0.51616469,323,51615,108,M0,21.20664,18.47482,17.11546,16.46339,16.10709
363694009429813248,183.9006,-0.46471421,323,51615,103,M0,21.28749,18.684,17.31938,16.6774,16.33661
363684113825163264,183.90842,-0.51449844,323,51615,67,M2,21.48208,18.78552,17.39975,16.3402,15.78578
363684663580977152,183.93134,-0.45007431,323,51615,69,M3,21.48122,18.64263,17.21832,16.00117,15.36646
363683838947256320,183.94082,-0.48661282,323,51615,66,M2,21.08071,18.29171,16.94355,15.92829,15.40582
363685488214697984,184.13932,-0.18975652,323,51615,72,M3,21.24839,18.65514,17.24264,16.01558,15.3695
363712426249578496,183.03065,-0.29158171,323,51615,170,M1,20.90953,18.25991,16.81289,15.95606,15.4954
363714900150740992,183.04882,-0.358118,323,51615,179,M0,20.76628,18.24493,16.85422,16.20513,15.80878
363707478447253504,183.31218,-0.31213436,323,51615,152,M3,20.69023,18.14762,16.85219,15.68088,15.12982
363704729668184064,183.47321,-0.23105744,323,51615,142,M1,20.88812,18.26128,17.02168,16.227,15.8299
363743212575156224,182.20072,-0.97115356,323,51615,282,M0,21.44544,18.75966,17.36865,16.62053,16.21688
363743487453063168,182.23893,-0.9350977,323,51615,283,M1,21.46942,18.6034,17.18888,16.31499,15.81668
363732767214692352,182.2693,-0.84387221,323,51615,244,M0,21.23023,18.47617,17.08555,16.40972,16.00612
363736065749575680,182.42847,-0.86958047,323,51615,256,M1,21.36984,18.72427,17.31596,16.485,16.03051
